#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S - entire multiplet with mean wl
# 2p 1P  - 2s 1S
#
He 1	1202.81A vacuum	# two-photon singlet
He 1	1251.13A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 591.412A to "Blnd" 591.412A, update He-like triplet labels and wl
Blnd	591.412A vacuum
He 1	625.563A vacuum
He 1	584.334A vacuum
# >>chng 13 aug 01, wl from 1.08299m to 1.08303m, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "He 1" 1.08303m to "Blnd" 1.08331m, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 1.08331m to 1.08302m, adjust multiplet Blend WL for refraction index
Blnd	1.08302m air
#>>chng 06 may 20 from 2.060mm to 2.058mm RP change helike
He 1	2.05813m air
#
# the following are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2p 3P2 - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S
# 2p 3P0 - 2s 3S
# 2p 3P1 - 2s 3S
# 2p 3P2 - 2s 3S
# 2p 1P  - 2s 1S
#
Li 2	407.021A  vacuum	# two-photon singlet
Li 2	420.137A  vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 202.322A to "Blnd" 202.322A, update He-like triplet labels and wl
Blnd	202.322A vacuum
Li 2	202.321A vacuum
Li 2	210.069A vacuum
Li 2	199.279A vacuum
# >>chng 13 aug 01, wl from 5484.32A to 5484.40A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 5484.40A to "Blnd" 5486.01A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 5486.01A to 5484.49A, adjust multiplet Blend WL for refraction index
Blnd	5484.49A air
Li 2	5483.46A air
Li 2	5485.09A air
# >>chng 13 aug 01, wl from 5484.32A to 5484.40A, now using middle multiplet wl
Li 2	5484.40A air
Li 2	9581.43A air
#
Be 3	203.837A vacuum	# two-photon singlet
Be 3	209.095A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 101.693A to "Blnd" 101.693A, update He-like triplet labels and wl
Blnd	101.693A vacuum
Be 3	101.693A vacuum
Be 3	104.548A vacuum
Be 3	100.255A vacuum
# >>chng 13 aug 01, wl from 3721.72A to 3721.40A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 3721.40A to "Blnd" 3722.52A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 3722.52A to 3722.00A, adjust multiplet Blend WL for refraction index
Blnd	3722.00A air
Be 3	3720.84A air
Be 3	3722.92A air
Be 3	3721.40A air
Be 3	6142.32A air
#
# >>chng 21 mar 16, wl from 122.270A to 122.271A, update NIST energies
B  4	122.271A vacuum	# two-photon singlet
# >>chng 21 mar 16, wl from 124.879A to 124.880A, update NIST energies
B  4	124.880A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 61.0903A to "Blnd" 61.0903A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 61.0903A to 61.0907A, update NIST energies
Blnd	61.0907A vacuum
# >>chng 21 mar 16, wl from 61.0903A to 61.0907A, update NIST energies
B  4	61.0907A vacuum
# >>chng 21 mar 16, wl from 62.4397A to 62.4402A, update NIST energies
B  4	62.4402A vacuum
# >>chng 21 mar 16, wl from 60.3144A to 60.3147A, update NIST energies
B  4	60.3147A vacuum
# >>chng 13 aug 01, wl from 2824.03A to 2824.59A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 2824.59A to "Blnd" 2823.98A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 2823.98A to 2823.14A, adjust multiplet Blend WL for refraction index
# >>chng 21 mar 16, wl from 2823.14A to 2823.12A, update NIST energies
Blnd	2823.12A air
# >>chng 21 mar 16, wl from 2824.59A to 2824.54A, update NIST energies
B  4	2824.54A air
# >>chng 21 mar 16, wl from 2825.86A to 2825.83A, update NIST energies
B  4	2825.83A air
# >>chng 21 mar 16, wl from 2821.64A to 2821.63A, update NIST energies
B  4	2821.63A air
# >>chng 21 mar 16, wl from 4491.10A to 4490.80A, update NIST energies
B  4	4490.80A air
#
C  5	81.4656A vacuum	# two-photon singlet
# >>chng 21 mar 16, wl from 82.9441A to 82.9438A, update NIST energies
C  5	82.9438A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 40.7307A to "Blnd" 40.7307A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 40.7307A to 40.7306A, update NIST energies
Blnd	40.7306A vacuum
# >>chng 21 mar 16, wl from 40.7307A to 40.7306A, update NIST energies
C  5	40.7306A vacuum
# >>chng 21 mar 16, wl from 41.4721A to 41.4719A, update NIST energies
C  5	41.4719A vacuum
C  5	40.2678A vacuum
# >>chng 13 aug 01, wl from 2275.25A to 2277.16A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 2277.16A to "Blnd" 2274.23A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 2274.23A to 2273.52A, adjust multiplet Blend WL for refraction index
# >>chng 21 mar 16, wl from 2273.52A to 2273.63A, update NIST energies
Blnd	2273.63A air
# >>chng 21 mar 16, wl from 2277.16A to 2277.27A, update NIST energies
C  5	2277.27A air
# >>chng 21 mar 16, wl from 2277.81A to 2277.92A, update NIST energies
C  5	2277.92A air
# >>chng 21 mar 16, wl from 2270.79A to 2270.89A, update NIST energies
C  5	2270.89A air
# >>chng 21 mar 16, wl from 3526.70A to 3526.66A, update NIST energies
C  5	3526.66A air
#
N  6	58.1518A vacuum	# two-photon singlet
N  6	59.0687A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 29.0840A to "Blnd" 29.0840A, update He-like triplet labels and wl
Blnd	29.0840A vacuum
N  6	29.0815A vacuum
N  6	29.5343A vacuum
N  6	28.7870A vacuum
# >>chng 13 aug 01, wl from 1903.86A to 1907.26A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1907.26A to "Blnd" 1901.17A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 1901.17A to 1901.26A, update NIST energies
Blnd	1901.26A vacuum
# >>chng 21 mar 16, wl from 1907.58A to 1907.30A, update NIST energies
N  6	1907.30A vacuum
# >>chng 21 mar 16, wl from 1907.26A to 1907.30A, update NIST energies
N  6	1907.30A vacuum
# >>chng 21 mar 16, wl from 1896.74A to 1896.81A, update NIST energies
N  6	1896.81A vacuum
N  6	2896.36A air
#
O  7	43.5884A vacuum	# two-photon singlet
O  7	44.2024A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 21.8070A to "Blnd" 21.8070A, update He-like triplet labels and wl
Blnd	21.8070A vacuum
O  7	21.8044A vacuum
O  7	22.1012A vacuum
O  7    21.6020A vacuum
# >>chng 13 aug 01, wl from 1633.92A to 1638.28A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1638.28A to "Blnd" 1630.08A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 1630.08A to 1630.10A, update NIST energies
Blnd	1630.10A vacuum
# >>chng 21 mar 16, wl from 1639.86A to 1639.88A, update NIST energies
O  7	1639.88A vacuum
# >>chng 21 mar 16, wl from 1638.28A to 1638.27A, update NIST energies
O  7	1638.27A vacuum
# >>chng 21 mar 16, wl from 1623.61A to 1623.64A, update NIST energies
O  7	1623.64A vacuum
O  7	2448.98A air
#
F  8	33.8805A vacuum	# two-photon singlet
F  8	34.3051A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 16.9470A to "Blnd" 16.9470A, update He-like triplet labels and wl
Blnd	16.9470A vacuum
F  8	16.9443A vacuum
F  8	17.1525A vacuum
F  8	16.8070A vacuum
# >>chng 13 aug 01, wl from 1408.98A to 1414.23A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1414.23A to "Blnd" 1403.83A, update He-like triplet labels and wl
Blnd	1403.83A vacuum
F  8	1417.23A vacuum
F  8	1414.23A vacuum
F  8	1395.48A vacuum
F  8	2136.08A air
#
Ne 9	27.0904A vacuum	# two-photon singlet
Ne 9	27.3975A vacuum	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 13.5529A to "Blnd" 13.5529A, update He-like triplet labels and wl
Blnd	13.5529A vacuum
Ne 9	13.55A   vacuum
Ne 9	13.6987A vacuum
Ne 9	13.4471A vacuum
# >>chng 13 aug 01, wl from 1266.26A to 1272.81A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 1272.81A to "Blnd" 1259.54A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 1259.54A to 1259.58A, update NIST energies
Blnd	1259.58A vacuum
# >>chng 21 mar 16, wl from 1277.70A to 1277.79A, update NIST energies
Ne 9	1277.79A vacuum
